Accession_Number,Genus,Species,Binomial,Host_Binomial,Year_Sample_Collected,Country_of_Collection
KR997994,Eucampsipoda,sp,Eucampsipoda_sp,Rousettus_aegyptiacus,2016,South_Africa
KR997992,,,,,,
KR997999,,,,,,
KR997999,,,,,,
KR998001,,,,,,
MH151059,,,,,,
MH151060,,,,,,
KR997998,,,,,,
MH151062,,,,,,
LC536587,,,,,,
LC536586,,,,,,
LC536588,,,,,,
MH151066,,,,,,
KR997997,,,,,,
KF021491,,,,,,
MH151065,,,,,,
MH151063,,,,,,
KR997996,,,,,,
KR997995,,,,,,
KF021500,,,,,,
KF021499,,,,,,
KF021496,,,,,,
KF021498,,,,,,
KF021497,,,,,,
KF021493,,,,,,
OM283592,,,,,,
OM283590,,,,,,
OM283588,,,,,,
OM283589,,,,,,
OM283591,,,,,,
OM283593,,,,,,
KF021495,,,,,,
KF021494,,,,,,
KF273783,,,,,,
MF462043,,,,,,
KF273782,,,,,,
KF273778,,,,,,
KF273770,,,,,,
OL847632,,,,,,
MH282032,,,,,,
MK140104,,,,,,
KF021492,,,,,,
KF021517,,,,,,
MF462046,,,,,,
KF021517,,,,,,
MF462046,,,,,,
MK140156,,,,,,
MW590968,,,,,,
MK140160,,,,,,
KF021501,,,,,,
LC522026,,,,,,
LC522022,,,,,,
KF021494,,,,,,
KF021495,,,,,,
