"month_year","sampleid","roost_site","processing_date","bat_species","bat_sex","bat_age_class","bat_weight_g","bat_forearm_mm","meglastreblidae","bat_flies","mass_forearm_residual","mean_Hday","lag_temp","lag_precip"
2013-11-01,"ANGB1","Angavobe_Edup",2013-11-23,"Eidolon dupreanum","female","NL",290,136,NA,0,-49.28628512,59.25074,12.04067,0.010633128
2013-11-01,"ANGB4","Angavobe_Edup",2013-11-23,"Eidolon dupreanum","male","A",460,124,NA,0,154.4512782,59.25074,12.04067,0.010633128
2013-11-01,"ANGB3","Angavobe_Edup",2013-11-23,"Eidolon dupreanum","female","NL",320,133.3,NA,0,-7.995930469,59.25074,12.04067,0.010633128
2013-11-01,"ANGB6","Angavobe_Edup",2013-11-23,"Eidolon dupreanum","female","NL",300,130,NA,0,-14.40881363,59.25074,12.04067,0.010633128
2013-11-01,"ANGB5","Angavobe_Edup",2013-11-23,"Eidolon dupreanum","male","A",325,127,NA,0,10.71660939,59.25074,12.04067,0.010633128
2013-11-01,"ANGB7","Angavobe_Edup",2013-11-23,"Eidolon dupreanum","female","NL",325,135.3,NA,0,-11.34421357,59.25074,12.04067,0.010633128
2013-11-01,"ANGB8","Angavobe_Edup",2013-11-23,"Eidolon dupreanum","female","NL",380,120,NA,0,105.3204049,59.25074,12.04067,0.010633128
2013-11-01,"ANGB9","Angavobe_Edup",2013-11-23,"Eidolon dupreanum","female","NL",290,124,NA,0,-0.308741602,59.25074,12.04067,0.010633128
2013-11-01,"ANGB10","Angavobe_Edup",2013-11-23,"Eidolon dupreanum","female","NL",320,126,NA,0,21.7449777,59.25074,12.04067,0.010633128
2013-11-01,"ANGB2","Angavobe_Edup",2013-11-23,"Eidolon dupreanum","male","A",330,127,NA,0,15.71660939,59.25074,12.04067,0.010633128
2013-11-01,"ANGB14","Angavobe_Edup",2013-11-24,"Eidolon dupreanum","female","L",350,128,NA,0,43.71147771,59.25074,12.04067,0.010633128
2013-11-01,"ANGB16","Angavobe_Edup",2013-11-24,"Eidolon dupreanum","female","L",325,129,NA,0,14.66215456,59.25074,12.04067,0.010633128
2013-11-01,"KEL5","Angavokely_Edup",2013-11-26,"Eidolon dupreanum","female","NL",350,124,NA,0,59.6912584,59.25074,12.04067,0.010633128
2013-11-01,"ANGB21","Angavobe_Edup",2013-11-24,"Eidolon dupreanum","female","L",300,128.1,NA,0,-6.692479079,59.25074,12.04067,0.010633128
2013-11-01,"ANGB23","Angavobe_Edup",2013-11-24,"Eidolon dupreanum","female","L",310,124,NA,0,19.6912584,59.25074,12.04067,0.010633128
2013-11-01,"ANGB25","Angavobe_Edup",2013-11-24,"Eidolon dupreanum","female","L",350,123,NA,0,63.63155534,59.25074,12.04067,0.010633128
2013-11-01,"ANGB29","Angavobe_Edup",2013-11-24,"Eidolon dupreanum","female","L",320,126,NA,0,21.7449777,59.25074,12.04067,0.010633128
2013-11-01,"ANGB27","Angavobe_Edup",2013-11-24,"Eidolon dupreanum","female","L",330,130,NA,0,15.59118637,59.25074,12.04067,0.010633128
2013-11-01,"KEL2","Angavokely_Edup",2013-11-26,"Eidolon dupreanum","female","NL",330,123,NA,0,43.63155534,59.25074,12.04067,0.010633128
2013-11-01,"KEL1","Angavokely_Edup",2013-11-26,"Eidolon dupreanum","male","A",350,133.3,NA,0,17.25412579,59.25074,12.04067,0.010633128
2013-11-01,"KEL3","Angavokely_Edup",2013-11-26,"Eidolon dupreanum","male","A",360,131.2,NA,0,33.42602906,59.25074,12.04067,0.010633128
2013-11-01,"KEL4","Angavokely_Edup",2013-11-26,"Eidolon dupreanum","female","NL",300,127,NA,0,-2.260896836,59.25074,12.04067,0.010633128
2013-11-01,"KEL6","Angavokely_Edup",2013-11-26,"Eidolon dupreanum","female","NL",310,135,NA,0,-25.08652354,59.25074,12.04067,0.010633128
2013-11-01,"KEL7","Angavokely_Edup",2013-11-26,"Eidolon dupreanum","male","A",360,121,NA,0,63.14818778,59.25074,12.04067,0.010633128
2013-11-01,"KEL8","Angavokely_Edup",2013-11-26,"Eidolon dupreanum","female","NL",260,121.8,NA,0,-21.66909286,59.25074,12.04067,0.010633128
