"","ID","SITE_ID","Humid_pt_daytime_201301","Humid_pt_daytime_201302","Humid_pt_daytime_201303","Humid_pt_daytime_201304","Humid_pt_daytime_201305","Humid_pt_daytime_201306","Humid_pt_daytime_201307","Humid_pt_daytime_201308","Humid_pt_daytime_201309","Humid_pt_daytime_201310","Humid_pt_daytime_201311","Humid_pt_daytime_201312","Humid_pt_daytime_201401","Humid_pt_daytime_201402","Humid_pt_daytime_201403","Humid_pt_daytime_201404","Humid_pt_daytime_201405","Humid_pt_daytime_201406","Humid_pt_daytime_201407","Humid_pt_daytime_201408","Humid_pt_daytime_201409","Humid_pt_daytime_201410","Humid_pt_daytime_201411","Humid_pt_daytime_201412","Humid_pt_daytime_201501","Humid_pt_daytime_201502","Humid_pt_daytime_201503","Humid_pt_daytime_201504","Humid_pt_daytime_201505","Humid_pt_daytime_201506","Humid_pt_daytime_201507","Humid_pt_daytime_201508","Humid_pt_daytime_201509","Humid_pt_daytime_201510","Humid_pt_daytime_201511","Humid_pt_daytime_201512","Humid_pt_daytime_201601","Humid_pt_daytime_201602","Humid_pt_daytime_201603","Humid_pt_daytime_201604","Humid_pt_daytime_201605","Humid_pt_daytime_201606","Humid_pt_daytime_201607","Humid_pt_daytime_201608","Humid_pt_daytime_201609","Humid_pt_daytime_201610","Humid_pt_daytime_201611","Humid_pt_daytime_201612","Humid_pt_daytime_201701","Humid_pt_daytime_201702","Humid_pt_daytime_201703","Humid_pt_daytime_201704","Humid_pt_daytime_201705","Humid_pt_daytime_201706","Humid_pt_daytime_201707","Humid_pt_daytime_201708","Humid_pt_daytime_201709","Humid_pt_daytime_201710","Humid_pt_daytime_201711","Humid_pt_daytime_201712","Humid_pt_daytime_201801","Humid_pt_daytime_201802","Humid_pt_daytime_201803","Humid_pt_daytime_201804","Humid_pt_daytime_201805","Humid_pt_daytime_201806","Humid_pt_daytime_201807","Humid_pt_daytime_201808","Humid_pt_daytime_201809","Humid_pt_daytime_201810","Humid_pt_daytime_201811","Humid_pt_daytime_201812","Humid_pt_daytime_201901","Humid_pt_daytime_201902","Humid_pt_daytime_201903","Humid_pt_daytime_201904","Humid_pt_daytime_201905","Humid_pt_daytime_201906","Humid_pt_daytime_201907","Humid_pt_daytime_201908","Humid_pt_daytime_201909","Humid_pt_daytime_201910","Humid_pt_daytime_201911","Humid_pt_daytime_201912","Humid_pt_daytime_202001","Humid_pt_daytime_202002","Humid_pt_daytime_202003","Humid_pt_nighttime_201301","Humid_pt_nighttime_201302","Humid_pt_nighttime_201303","Humid_pt_nighttime_201304","Humid_pt_nighttime_201305","Humid_pt_nighttime_201306","Humid_pt_nighttime_201307","Humid_pt_nighttime_201308","Humid_pt_nighttime_201309","Humid_pt_nighttime_201310","Humid_pt_nighttime_201311","Humid_pt_nighttime_201312","Humid_pt_nighttime_201401","Humid_pt_nighttime_201402","Humid_pt_nighttime_201403","Humid_pt_nighttime_201404","Humid_pt_nighttime_201405","Humid_pt_nighttime_201406","Humid_pt_nighttime_201407","Humid_pt_nighttime_201408","Humid_pt_nighttime_201409","Humid_pt_nighttime_201410","Humid_pt_nighttime_201411","Humid_pt_nighttime_201412","Humid_pt_nighttime_201501","Humid_pt_nighttime_201502","Humid_pt_nighttime_201503","Humid_pt_nighttime_201504","Humid_pt_nighttime_201505","Humid_pt_nighttime_201506","Humid_pt_nighttime_201507","Humid_pt_nighttime_201508","Humid_pt_nighttime_201509","Humid_pt_nighttime_201510","Humid_pt_nighttime_201511","Humid_pt_nighttime_201512","Humid_pt_nighttime_201601","Humid_pt_nighttime_201602","Humid_pt_nighttime_201603","Humid_pt_nighttime_201604","Humid_pt_nighttime_201605","Humid_pt_nighttime_201606","Humid_pt_nighttime_201607","Humid_pt_nighttime_201608","Humid_pt_nighttime_201609","Humid_pt_nighttime_201610","Humid_pt_nighttime_201611","Humid_pt_nighttime_201612","Humid_pt_nighttime_201701","Humid_pt_nighttime_201702","Humid_pt_nighttime_201703","Humid_pt_nighttime_201704","Humid_pt_nighttime_201705","Humid_pt_nighttime_201706","Humid_pt_nighttime_201707","Humid_pt_nighttime_201708","Humid_pt_nighttime_201709","Humid_pt_nighttime_201710","Humid_pt_nighttime_201711","Humid_pt_nighttime_201712","Humid_pt_nighttime_201801","Humid_pt_nighttime_201802","Humid_pt_nighttime_201803","Humid_pt_nighttime_201804","Humid_pt_nighttime_201805","Humid_pt_nighttime_201806","Humid_pt_nighttime_201807","Humid_pt_nighttime_201808","Humid_pt_nighttime_201809","Humid_pt_nighttime_201810","Humid_pt_nighttime_201811","Humid_pt_nighttime_201812","Humid_pt_nighttime_201901","Humid_pt_nighttime_201902","Humid_pt_nighttime_201903","Humid_pt_nighttime_201904","Humid_pt_nighttime_201905","Humid_pt_nighttime_201906","Humid_pt_nighttime_201907","Humid_pt_nighttime_201908","Humid_pt_nighttime_201909","Humid_pt_nighttime_201910","Humid_pt_nighttime_201911","Humid_pt_nighttime_201912","Humid_pt_nighttime_202001","Humid_pt_nighttime_202002","Humid_pt_nighttime_202003"
"1",1,"Ambakoana",90.3125,90.1875,90.125,91,91.8125,89.5,90.8125,87.5625,86.0625,85.0625,91,90.25,90.25,90.75,90.75,91.125,89.375,92.3125,88.0625,88.3125,85.875,86.6875,85.875,86.9375,91.375,89.3125,90.75,90.5,88.9375,88.4375,91.125,89.6875,89.125,86.8125,87.4375,89.1875,89.3125,89.875,90.1875,89.4375,86.125,87.4375,88.875,88.5,87.9375,88.5625,87.0625,87.8125,89.125,86.1875,91.875,90.625,88.3125,89.1875,91,85.8125,87.625,86.0625,89.3125,90.875,91.046875,90.015625,88.75,88.046875,84.984375,83.65625,85.640625,79.5,80.875,84.21875,86.390625,88.953125,89.796875,89.125,89.015625,88.640625,84.6875,85.484375,84.109375,80.65625,83.65625,78.59375,83.640625,86.671875,91.1875,87.75,88.4375,90.3125,90.1875,90.125,91,91.8125,89.5,90.8125,87.5625,86.0625,85.0625,91,90.25,90.25,90.75,90.75,91.125,89.375,92.3125,88.0625,88.3125,85.875,86.6875,85.875,86.9375,91.375,89.3125,90.75,90.5,88.9375,88.4375,91.125,89.6875,89.125,86.8125,87.4375,89.1875,89.3125,89.875,90.1875,89.4375,86.125,87.4375,88.875,88.5,87.9375,88.5625,87.0625,87.8125,89.125,86.1875,91.875,90.625,88.3125,89.1875,91,85.8125,87.625,86.0625,89.3125,90.875,91.046875,90.015625,88.75,88.046875,84.984375,83.65625,85.640625,79.5,80.875,84.21875,86.390625,88.953125,89.796875,89.125,89.015625,88.640625,84.6875,85.484375,84.109375,80.65625,83.65625,78.59375,83.640625,86.671875,91.1875,87.75,88.4375
"2",2,"AngavoBe",90.3125,90.1875,90.125,91,91.8125,89.5,90.8125,87.5625,86.0625,85.0625,91,90.25,90.25,90.75,90.75,91.125,89.375,92.3125,88.0625,88.3125,85.875,86.6875,85.875,86.9375,91.375,89.3125,90.75,90.5,88.9375,88.4375,91.125,89.6875,89.125,86.8125,87.4375,89.1875,89.3125,89.875,90.1875,89.4375,86.125,87.4375,88.875,88.5,87.9375,88.5625,87.0625,87.8125,89.125,86.1875,91.875,90.625,88.3125,89.1875,91,85.8125,87.625,86.0625,89.3125,90.875,91.046875,90.015625,88.75,88.046875,84.984375,83.65625,85.640625,79.5,80.875,84.21875,86.390625,88.953125,89.796875,89.125,89.015625,88.640625,84.6875,85.484375,84.109375,80.65625,83.65625,78.59375,83.640625,86.671875,91.1875,87.75,88.4375,90.3125,90.1875,90.125,91,91.8125,89.5,90.8125,87.5625,86.0625,85.0625,91,90.25,90.25,90.75,90.75,91.125,89.375,92.3125,88.0625,88.3125,85.875,86.6875,85.875,86.9375,91.375,89.3125,90.75,90.5,88.9375,88.4375,91.125,89.6875,89.125,86.8125,87.4375,89.1875,89.3125,89.875,90.1875,89.4375,86.125,87.4375,88.875,88.5,87.9375,88.5625,87.0625,87.8125,89.125,86.1875,91.875,90.625,88.3125,89.1875,91,85.8125,87.625,86.0625,89.3125,90.875,91.046875,90.015625,88.75,88.046875,84.984375,83.65625,85.640625,79.5,80.875,84.21875,86.390625,88.953125,89.796875,89.125,89.015625,88.640625,84.6875,85.484375,84.109375,80.65625,83.65625,78.59375,83.640625,86.671875,91.1875,87.75,88.4375
"3",3,"AngavoKely",90.3125,90.1875,90.125,91,91.8125,89.5,90.8125,87.5625,86.0625,85.0625,91,90.25,90.25,90.75,90.75,91.125,89.375,92.3125,88.0625,88.3125,85.875,86.6875,85.875,86.9375,91.375,89.3125,90.75,90.5,88.9375,88.4375,91.125,89.6875,89.125,86.8125,87.4375,89.1875,89.3125,89.875,90.1875,89.4375,86.125,87.4375,88.875,88.5,87.9375,88.5625,87.0625,87.8125,89.125,86.1875,91.875,90.625,88.3125,89.1875,91,85.8125,87.625,86.0625,89.3125,90.875,91.046875,90.015625,88.75,88.046875,84.984375,83.65625,85.640625,79.5,80.875,84.21875,86.390625,88.953125,89.796875,89.125,89.015625,88.640625,84.6875,85.484375,84.109375,80.65625,83.65625,78.59375,83.640625,86.671875,91.1875,87.75,88.4375,90.3125,90.1875,90.125,91,91.8125,89.5,90.8125,87.5625,86.0625,85.0625,91,90.25,90.25,90.75,90.75,91.125,89.375,92.3125,88.0625,88.3125,85.875,86.6875,85.875,86.9375,91.375,89.3125,90.75,90.5,88.9375,88.4375,91.125,89.6875,89.125,86.8125,87.4375,89.1875,89.3125,89.875,90.1875,89.4375,86.125,87.4375,88.875,88.5,87.9375,88.5625,87.0625,87.8125,89.125,86.1875,91.875,90.625,88.3125,89.1875,91,85.8125,87.625,86.0625,89.3125,90.875,91.046875,90.015625,88.75,88.046875,84.984375,83.65625,85.640625,79.5,80.875,84.21875,86.390625,88.953125,89.796875,89.125,89.015625,88.640625,84.6875,85.484375,84.109375,80.65625,83.65625,78.59375,83.640625,86.671875,91.1875,87.75,88.4375
"4",4,"Ankarana_Canyon",89.875,91.875,90.1875,90.375,88.625,89.75,89.6875,87.25,88.9375,90.0625,90.125,90.3125,90.9375,92.6875,91,89.9375,90.6875,88.9375,86.625,87.5,88.6875,89.75,91.1875,91.1875,92.1875,91.0625,89.9375,90.625,89.25,89.3125,91.5,89.625,87.5625,92.4375,91.375,90.4375,92.25,92,92.625,90.0625,89.375,86.5,88.75,89,89.5,91.75,90.25,88.9375,90.8125,90,91.25,90.5,89,89.4375,87.6875,87.9375,89.4375,89.25,90.375,91.6875,89.125,88.921875,86.359375,84.515625,82.703125,80.046875,76.875,79.453125,80.90625,83.171875,86.46875,87.84375,87.9375,88.453125,86.65625,86.265625,83.953125,79.390625,79.953125,78.265625,82.5625,83.4375,84.90625,86.5625,92.4375,91,91.625,89.875,91.875,90.1875,90.375,88.625,89.75,89.6875,87.25,88.9375,90.0625,90.125,90.3125,90.9375,92.6875,91,89.9375,90.6875,88.9375,86.625,87.5,88.6875,89.75,91.1875,91.1875,92.1875,91.0625,89.9375,90.625,89.25,89.3125,91.5,89.625,87.5625,92.4375,91.375,90.4375,92.25,92,92.625,90.0625,89.375,86.5,88.75,89,89.5,91.75,90.25,88.9375,90.8125,90,91.25,90.5,89,89.4375,87.6875,87.9375,89.4375,89.25,90.375,91.6875,89.125,88.921875,86.359375,84.515625,82.703125,80.046875,76.875,79.453125,80.90625,83.171875,86.46875,87.84375,87.9375,88.453125,86.65625,86.265625,83.953125,79.390625,79.953125,78.265625,82.5625,83.4375,84.90625,86.5625,92.4375,91,91.625
"5",5,"Ankarana_Cathedral",89.875,91.875,90.1875,90.375,88.625,89.75,89.6875,87.25,88.9375,90.0625,90.125,90.3125,90.9375,92.6875,91,89.9375,90.6875,88.9375,86.625,87.5,88.6875,89.75,91.1875,91.1875,92.1875,91.0625,89.9375,90.625,89.25,89.3125,91.5,89.625,87.5625,92.4375,91.375,90.4375,92.25,92,92.625,90.0625,89.375,86.5,88.75,89,89.5,91.75,90.25,88.9375,90.8125,90,91.25,90.5,89,89.4375,87.6875,87.9375,89.4375,89.25,90.375,91.6875,89.125,88.921875,86.359375,84.515625,82.703125,80.046875,76.875,79.453125,80.90625,83.171875,86.46875,87.84375,87.9375,88.453125,86.65625,86.265625,83.953125,79.390625,79.953125,78.265625,82.5625,83.4375,84.90625,86.5625,92.4375,91,91.625,89.875,91.875,90.1875,90.375,88.625,89.75,89.6875,87.25,88.9375,90.0625,90.125,90.3125,90.9375,92.6875,91,89.9375,90.6875,88.9375,86.625,87.5,88.6875,89.75,91.1875,91.1875,92.1875,91.0625,89.9375,90.625,89.25,89.3125,91.5,89.625,87.5625,92.4375,91.375,90.4375,92.25,92,92.625,90.0625,89.375,86.5,88.75,89,89.5,91.75,90.25,88.9375,90.8125,90,91.25,90.5,89,89.4375,87.6875,87.9375,89.4375,89.25,90.375,91.6875,89.125,88.921875,86.359375,84.515625,82.703125,80.046875,76.875,79.453125,80.90625,83.171875,86.46875,87.84375,87.9375,88.453125,86.65625,86.265625,83.953125,79.390625,79.953125,78.265625,82.5625,83.4375,84.90625,86.5625,92.4375,91,91.625
"6",6,"Ankarana_Chauves_Souris",89.875,91.875,90.1875,90.375,88.625,89.75,89.6875,87.25,88.9375,90.0625,90.125,90.3125,90.9375,92.6875,91,89.9375,90.6875,88.9375,86.625,87.5,88.6875,89.75,91.1875,91.1875,92.1875,91.0625,89.9375,90.625,89.25,89.3125,91.5,89.625,87.5625,92.4375,91.375,90.4375,92.25,92,92.625,90.0625,89.375,86.5,88.75,89,89.5,91.75,90.25,88.9375,90.8125,90,91.25,90.5,89,89.4375,87.6875,87.9375,89.4375,89.25,90.375,91.6875,89.125,88.921875,86.359375,84.515625,82.703125,80.046875,76.875,79.453125,80.90625,83.171875,86.46875,87.84375,87.9375,88.453125,86.65625,86.265625,83.953125,79.390625,79.953125,78.265625,82.5625,83.4375,84.90625,86.5625,92.4375,91,91.625,89.875,91.875,90.1875,90.375,88.625,89.75,89.6875,87.25,88.9375,90.0625,90.125,90.3125,90.9375,92.6875,91,89.9375,90.6875,88.9375,86.625,87.5,88.6875,89.75,91.1875,91.1875,92.1875,91.0625,89.9375,90.625,89.25,89.3125,91.5,89.625,87.5625,92.4375,91.375,90.4375,92.25,92,92.625,90.0625,89.375,86.5,88.75,89,89.5,91.75,90.25,88.9375,90.8125,90,91.25,90.5,89,89.4375,87.6875,87.9375,89.4375,89.25,90.375,91.6875,89.125,88.921875,86.359375,84.515625,82.703125,80.046875,76.875,79.453125,80.90625,83.171875,86.46875,87.84375,87.9375,88.453125,86.65625,86.265625,83.953125,79.390625,79.953125,78.265625,82.5625,83.4375,84.90625,86.5625,92.4375,91,91.625
"7",7,"Lakato",90.3125,90.1875,90.125,91,91.8125,89.5,90.8125,87.5625,86.0625,85.0625,91,90.25,90.25,90.75,90.75,91.125,89.375,92.3125,88.0625,88.3125,85.875,86.6875,85.875,86.9375,91.375,89.3125,90.75,90.5,88.9375,88.4375,91.125,89.6875,89.125,86.8125,87.4375,89.1875,89.3125,89.875,90.1875,89.4375,86.125,87.4375,88.875,88.5,87.9375,88.5625,87.0625,87.8125,89.125,86.1875,91.875,90.625,88.3125,89.1875,91,85.8125,87.625,86.0625,89.3125,90.875,91.046875,90.015625,88.75,88.046875,84.984375,83.65625,85.640625,79.5,80.875,84.21875,86.390625,88.953125,89.796875,89.125,89.015625,88.640625,84.6875,85.484375,84.109375,80.65625,83.65625,78.59375,83.640625,86.671875,91.1875,87.75,88.4375,90.3125,90.1875,90.125,91,91.8125,89.5,90.8125,87.5625,86.0625,85.0625,91,90.25,90.25,90.75,90.75,91.125,89.375,92.3125,88.0625,88.3125,85.875,86.6875,85.875,86.9375,91.375,89.3125,90.75,90.5,88.9375,88.4375,91.125,89.6875,89.125,86.8125,87.4375,89.1875,89.3125,89.875,90.1875,89.4375,86.125,87.4375,88.875,88.5,87.9375,88.5625,87.0625,87.8125,89.125,86.1875,91.875,90.625,88.3125,89.1875,91,85.8125,87.625,86.0625,89.3125,90.875,91.046875,90.015625,88.75,88.046875,84.984375,83.65625,85.640625,79.5,80.875,84.21875,86.390625,88.953125,89.796875,89.125,89.015625,88.640625,84.6875,85.484375,84.109375,80.65625,83.65625,78.59375,83.640625,86.671875,91.1875,87.75,88.4375
"8",8,"Mahabo",84.3125,89.6875,79.625,69.5625,71.0625,66.4375,66,64.8125,63.9375,69.125,72.5625,77.5,85.75,85.1875,80.875,74.25,71.1875,67.25,66.5,64.5,64.5,74.75,69.9375,75.8125,85.9375,88.9375,80.4375,77.875,72,73.3125,69,73.625,68.9375,71.1875,71.75,80.25,80.9375,80.9375,85.25,74.5625,72.375,66.3125,66.5,66.4375,67.1875,72.125,74,78.25,77.375,81.5,79.625,72.9375,69.75,68.875,64.4375,67.125,63.5625,71.75,73.1875,81.0625,84.4375,84.734375,79.8125,77.84375,70.953125,70.953125,66.546875,73.390625,73.125,75.5625,76.265625,80.765625,87.71875,85.921875,84.9375,79.25,73.953125,71.84375,73.078125,68.03125,71.6875,74.234375,75.328125,80.203125,81.9375,82.1875,76.25,84.3125,89.6875,79.625,69.5625,71.0625,66.4375,66,64.8125,63.9375,69.125,72.5625,77.5,85.75,85.1875,80.875,74.25,71.1875,67.25,66.5,64.5,64.5,74.75,69.9375,75.8125,85.9375,88.9375,80.4375,77.875,72,73.3125,69,73.625,68.9375,71.1875,71.75,80.25,80.9375,80.9375,85.25,74.5625,72.375,66.3125,66.5,66.4375,67.1875,72.125,74,78.25,77.375,81.5,79.625,72.9375,69.75,68.875,64.4375,67.125,63.5625,71.75,73.1875,81.0625,84.4375,84.734375,79.8125,77.84375,70.953125,70.953125,66.546875,73.390625,73.125,75.5625,76.265625,80.765625,87.71875,85.921875,84.9375,79.25,73.953125,71.84375,73.078125,68.03125,71.6875,74.234375,75.328125,80.203125,81.9375,82.1875,76.25
"9",9,"Mahialambo",89.375,91.8125,89.6875,90.1875,89.5625,91.4375,89.4375,88.4375,84.25,85.625,89.0625,89.5,91.0625,90,91,91.8125,90.375,92.3125,89.4375,87,84.3125,85.4375,85.6875,88.1875,92.9375,89.9375,89.3125,90.9375,90.5,89.1875,92,89.9375,86.5,87.75,86.625,91.5625,89.1875,89.9375,91.125,88.125,88.5,89.75,91.5625,88.125,91.375,85.8125,87.3125,88.1875,88.5625,87.375,92,88.0625,88.5625,90.3125,89,92,86.5625,89.125,88.6875,91.125,91.921875,90.046875,89.3125,87.265625,84.609375,84.4375,85.46875,82.25,82.6875,85.578125,84.96875,88.96875,90.421875,89.234375,89.078125,88.296875,83.328125,84.296875,86.46875,83.015625,84.046875,79.265625,82.96875,86.046875,91.6875,86.1875,90.375,89.375,91.8125,89.6875,90.1875,89.5625,91.4375,89.4375,88.4375,84.25,85.625,89.0625,89.5,91.0625,90,91,91.8125,90.375,92.3125,89.4375,87,84.3125,85.4375,85.6875,88.1875,92.9375,89.9375,89.3125,90.9375,90.5,89.1875,92,89.9375,86.5,87.75,86.625,91.5625,89.1875,89.9375,91.125,88.125,88.5,89.75,91.5625,88.125,91.375,85.8125,87.3125,88.1875,88.5625,87.375,92,88.0625,88.5625,90.3125,89,92,86.5625,89.125,88.6875,91.125,91.921875,90.046875,89.3125,87.265625,84.609375,84.4375,85.46875,82.25,82.6875,85.578125,84.96875,88.96875,90.421875,89.234375,89.078125,88.296875,83.328125,84.296875,86.46875,83.015625,84.046875,79.265625,82.96875,86.046875,91.6875,86.1875,90.375
"10",10,"Makira",86.8125,88,87.125,85.875,80.5625,74.625,72.0625,73.0625,79.125,80.75,83.3125,84.6875,88,88.125,86.625,85.5,82.9375,74.875,79.5,77.875,79.0625,83.9375,84.1875,86.0625,86.1875,86.5,86.375,85.6875,83.5625,79.8125,78.4375,78.8125,80.75,84.6875,83,87,87.3125,86.625,86.0625,86.125,78.875,77.9375,72.625,76.3125,74.8125,80.75,83.0625,85.6875,87,86.9375,87,86.9375,82.875,81.375,77.25,77.4375,80,83.625,85.9375,84.875,87.734375,87.921875,85.265625,85.375,83.5,82.234375,79.53125,81.15625,81.84375,81.96875,85.21875,87.1875,88.671875,88.421875,87.578125,87.140625,84.796875,80.515625,82.140625,81.0625,82.484375,83.609375,86.09375,86.9375,87.6875,87.5,87.125,86.8125,88,87.125,85.875,80.5625,74.625,72.0625,73.0625,79.125,80.75,83.3125,84.6875,88,88.125,86.625,85.5,82.9375,74.875,79.5,77.875,79.0625,83.9375,84.1875,86.0625,86.1875,86.5,86.375,85.6875,83.5625,79.8125,78.4375,78.8125,80.75,84.6875,83,87,87.3125,86.625,86.0625,86.125,78.875,77.9375,72.625,76.3125,74.8125,80.75,83.0625,85.6875,87,86.9375,87,86.9375,82.875,81.375,77.25,77.4375,80,83.625,85.9375,84.875,87.734375,87.921875,85.265625,85.375,83.5,82.234375,79.53125,81.15625,81.84375,81.96875,85.21875,87.1875,88.671875,88.421875,87.578125,87.140625,84.796875,80.515625,82.140625,81.0625,82.484375,83.609375,86.09375,86.9375,87.6875,87.5,87.125
