Accession_Number,Tip_Link,Genus,Species,Binomial,Host_Binomial,Year_Sample_Collected,Country_of_Collection,Type
DQ133083,DQ133083,Ascodipteron,sp. Di137,Ascodipteron_sp_Di137,Hipposiderus_bicolor,2005,Malaysia,0
DQ133077,DQ133077,Ascodipteron,phyllorhinae,Ascodipteron_phyllorhinae,Hipposiderus_bicolor,2005,Malaysia,0
DQ133060,DQ133060,Brachyotheca,lobulata,Brachyotheca_lobulata,Hipposiderus_bicolor,2005,Malaysia,0
DQ133062,DQ133062,Brachyotheca,lobulata,Brachyotheca_lobulata,Hipposiderus_bicolor,2005,Malaysia,0
DQ133054,DQ133054,Brachyotheca,lobulata,Brachyotheca_lobulata,Hipposiderus sp.,2005,Malaysia,0
DQ133056,DQ133056,Brachyotheca,lobulata,Brachyotheca_lobulata,Hipposiderus sp.,2005,Malaysia,0
DQ133085,DQ133085,Megastrebla,nigriceps,Megastrebla_nigriceps,Eonycteris s. spelaea,2005,Malaysia,0
DQ133066,DQ133066,Megastrebla,nigriceps,Megastrebla_nigriceps,Eonycteris s. spelaea,2005,Malaysia,0
DQ133055,DQ133055,Megastrebla,parvior,Megastrebla_parvior,Eonycteris_s. spelaea,2005,Malaysia,0
DQ133072,DQ133072,Raymondia,huberi,Raymondia_huberi,NA,2005,Ethopia,0
DQ133080,DQ133080,Strebla,guajiro,Strebla_guajiro,Glossophaga_sp.,2005,Mexico,0
DQ133082,DQ133082,Strebla,mirabilis,Strebla_mirabilis,NA,2005,Venezuela,0
DQ133063,DQ133063,Trichobius,caecus,Trichobius_caecus,Pteronotus_sp.,2005,Mexico,0
DQ133079,DQ133079,Trichobius,corynorhini,Trichobius_corynorhini,Corynorhinus_townsendi,2005,USA,0
DQ133061,DQ133061,Trichobius,diaemi,Trichobius_diaemi,Desmodus_sp.,2005,Mexico,0
DQ133069,DQ133069,Trichobius,dugesii,Trichobius_dugesii,unknown,2005,Mexico,0
DQ133053,DQ133053,Trichobius,hirsutulus,Trichobius_hirsutulus,Myotis_sp.,2005,Mexico,0
DQ133070,DQ133070,Trichobius,intermedius,Trichobius_intermedius,fruit bat,2005,Mexico,0
DQ133088,DQ133088,Trichobius,longipes,Trichobius_longipes,Phyllostomus_sp.,2005,Mexico,0
DQ133084,DQ133084,Trichobius,major,Trichobius_major,Eptesicus_fuscus,2005,USA,0
DQ133081,DQ133081,Trichobius,major,Trichobius_major,Myotis_sp.,2005,USA,0
DQ133087,DQ133087,Trichobius,parasiticus,Trichobius_parasiticus,NA,2005,Mexico,0
DQ133065,DQ133065,Trichobius,yunkeri,Trichobius_yunkeri,NA,2005,Mexico,0
DQ133086,DQ133086,Trichobius,yunkeri,Trichobius_yunkeri,NA,2005,Mexico,0
DQ133071,DQ133071,Basilia,coronata_indivisa,Basilia_coronata_indivisa,Myotis_ater,2005,Malaysia,0
DQ133057,DQ133057,Basilia,corynorhini,Basilia_corynorhini,Corynorhinus_townsendi,2005,USA,0
DQ133064,DQ133064,Basilia,forcipata,Basilia_forcipata,Myotis_volans,2005,USA,0
DQ133073,DQ133073,Dipseliopoda,biannulata,Dipseliopoda_biannulata,NA,2005,Africa,0
DQ133076,DQ133076,Eucampsipoda,inermis,Eucampsipoda_inermis,Eonycteris_spelaea,2005,Malaysia,0
DQ133068,DQ133068,Eucampsipoda,penthetoris,Eucampsipoda_penthetoris,Eonycteris_s._spelaea,2005,Malaysia,0
DQ133058,DQ133058,Phthiridium,fraternum,Phthiridium_fraternum,Hipposiderus_bicolor,2005,Malaysia,0
DQ133078,DQ133078,Lipoptena,cervi,Lipoptena_cervi,deer,2005,Germany,0
AF073888,AF073888,Ornithoica,vicina,Ornithoica_vicina,NA,1998,Canada,0
AF322421,AF322421,Ornithomyia,avicularia,Ornithomyia_avicularia,NA,2000,NA,0
AF322431,AF322431,Glossina,palpalis,Glossina_palpalis,NA,2000,NA,0
M21017,M21017,Drosophila,melanogaster,Drosophila_melanogaster,NA,1988,NA,0
KF156670,KF156670,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2011,Kenya,0
KF156671,KF156671,Eucampsipoda,inermis,Eucampsipoda_inermis,Rousettus_amplexicaudatus,2006,Philippines,0
KF156672,KF156672,Eucampsipoda,inermis,Eucampsipoda_inermis,Rousettus_amplexicaudatus,2006,Philippines,0
KF156673,KF156673,Eucampsipoda,madagascarensis,Eucampsipoda_madagascarensis,Rousettus_madagascariensis,2008,Madagascar,0
KF156674,KF156674,Eucampsipoda,madagascarensis,Eucampsipoda_madagascarensis,Rousettus_madagascariensis,2008,Madagascar,0
KF156680,KF156680,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF156675,KF156675,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF156678,KF156678,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF156681,KF156681,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF156676,KF156676,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF156677,KF156677,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF156679,KF156679,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF156683,KF156683,Nycteribia,schmidlii,Nycteribia_schmidlii,Miniopterus_africanus,2012,Kenya,0
KF156685,KF156685,Nycteribia,schmidlii,Nycteribia_schmidlii,Miniopterus_inflatus,2011,Kenya,0
KF156684,KF156684,Nycteribia,schmidlii,Nycteribia_schmidlii,Miniopterus_africanus,2012,Kenya,0
KF156686,KF156686,Nycteribia,schmidlii,Nycteribia_schmidlii,Miniopterus_africanus,2012,Kenya,0
KF156687,KF156687,Nycteribia,stylidiopsis,Nycteribia_stylidiopsis,Miniopterus_griveaudi,2010,Comoros,0
KF156694,KF156694,Nycteribia,stylidiopsis,Nycteribia_stylidiopsis,Miniopterus_gleni,2008,Madagascar,0
KF156691,KF156691,Nycteribia,stylidiopsis,Nycteribia_stylidiopsis,Miniopterus_gleni,2012,Madagascar,0
KF156692,KF156692,Nycteribia,stylidiopsis,Nycteribia_stylidiopsis,Miniopterus_gleni,2012,Madagascar,0
KF156693,KF156693,Nycteribia,stylidiopsis,Nycteribia_stylidiopsis,Miniopterus_griveaudi,2012,Madagascar,0
KF156695,KF156695,Nycteribia,stylidiopsis,Nycteribia_stylidiopsis,Miniopterus_griveaudi,2012,Madagascar,0
KF156690,KF156690,Nycteribia,stylidiopsis,Nycteribia_stylidiopsis,Miniopterus_griveaudi,2012,Madagascar,0
KF156689,KF156689,Nycteribia,stylidiopsis,Nycteribia_stylidiopsis,Miniopterus_griveaudi,2012,Madagascar,0
KF156688,KF156688,Nycteribia,stylidiopsis,Nycteribia_stylidiopsis,Miniopterus_gleni,2012,Madagascar,0
KF156696,KF156696,Nycteribia,stylidiopsis,Nycteribia_stylidiopsis,Miniopterus_gleni,2012,Madagascar,0
KF156682,KF156682,Nycteribia,parvula,Nycteribia_parvula,Miniopterus_schreibersi,2006,Philippines,0
KF156711,KF156711,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_griveaudi,2012,Madagascar,0
KF156703,KF156703,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_manavi,2012,Madagascar,0
KF156714,KF156714,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_sororculus,2012,Madagascar,0
KF156707,KF156707,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_gleni,2011,Madagascar,0
KF156706,KF156706,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_gleni,2012,Madagascar,0
KF156708,KF156708,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_mahafaliensis,2011,Madagascar,0
KF156700,KF156700,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_griveaudi,2012,Madagascar,0
KF156709,KF156709,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_griveaudi,2012,Madagascar,0
KF156712,KF156712,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_sororculus,2012,Madagascar,0
KF156713,KF156713,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_sororculus,2012,Madagascar,0
KF156710,KF156710,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_mahafaliensis,2011,Madagascar,0
KF156705,KF156705,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_gleni,2012,Madagascar,0
KF156704,KF156704,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_petersoni,2010,Madagascar,0
KF156702,KF156702,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_manavi,2010,Madagascar,0
KF156701,KF156701,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_manavi,2010,Madagascar,0
KF156697,KF156697,Penicillidia,fulvida,Penicillidia_fulvida,Miniopterus_gleni,2012,Madagascar,0
KF156698,KF156698,Penicillidia,fulvida,Penicillidia_fulvida,Miniopterus_griveaudi,2012,Madagascar,0
PQ737139,KEL239_cd_3mc,Cyclopodia,dubia,Cyclopodia_dubia,Eidolon_dupreanum,2019,Madagascar,1
PQ737140,KEL272_cd_5mb,Cyclopodia,dubia,Cyclopodia_dubia,Eidolon_dupreanum,2019,Madagascar,1
PQ737141,KEL280B_cd,Cyclopodia,dubia,Cyclopodia_dubia,Eidolon_dupreanum,2019,Madagascar,1
PQ737142,KEL282_cd_1fc,Cyclopodia,dubia,Cyclopodia_dubia,Eidolon_dupreanum,2019,Madagascar,1
PQ737143,MIZ466_em_f27a,Eucampsipoda,madagascarensis,Eucampsipoda_madagascarensis,Rousettus_madagascariensis,2019,Madagascar,1
PQ737144,MIZ466_em_m28b,Eucampsipoda,madagascarensis,Eucampsipoda_madagascarensis,Rousettus_madagascariensis,2019,Madagascar,1
PQ737145,MIZ481_em_b,Eucampsipoda,madagascarensis,Eucampsipoda_madagascarensis,Rousettus_madagascariensis,2019,Madagascar,1
PQ737146,MIZ485_w_b,Megastrebla,wenzeli,Megastrebla_wenzeli,Rousettus_madagascariensis,2019,Madagascar,1
PQ737147,MIZ492_w_7_A,Megastrebla,wenzeli,Megastrebla_wenzeli,Rousettus_madagascariensis,2019,Madagascar,1
PQ737148,MIZ492_w_7_B,Megastrebla,wenzeli,Megastrebla_wenzeli,Rousettus_madagascariensis,2019,Madagascar,1
PQ737149,ROU132_em_b,Eucampsipoda,madagascarensis,Eucampsipoda_madagascarensis,Rousettus_madagascariensis,2019,Madagascar,1
PQ737150,ROU192_em_m28,Eucampsipoda,madagascarensis,Eucampsipoda_madagascarensis,Rousettus_madagascariensis,2019,Madagascar,1
